id,mean(total_steps),mean(total_distance),mean(sedentary_minutes),mean(calories),"cor(total_steps, calories)"
1503960366,12116.741935483871,7.8096773855147825,848.1612903225806,1816.4193548387098,0.8919450449690536
1624580081,5743.903225806452,3.9148387293661786,1257.741935483871,1483.3548387096773,0.9305893697122986
1644430081,7282.966666666666,5.295333353678386,1161.8666666666666,2811.3,0.9137224529048197
1844505072,2580.064516129032,1.7061290368437774,1206.6129032258063,1573.483870967742,0.9166721054845481
1927972279,916.1290322580645,0.6345161230814076,1317.4193548387098,2172.8064516129034,0.8218038263160695
2022484408,11370.645161290322,8.084193491166635,1112.5806451612902,2509.967741935484,0.7600245740739424
2026352035,5566.870967741936,3.454838715253338,689.4193548387096,1540.6451612903227,0.9142831821204128
2320127002,4716.870967741936,3.187741904489456,1220.0967741935483,1724.1612903225807,0.9103579055336762
2347167796,9519.666666666666,6.355555535915002,687.1666666666666,2043.4444444444443,0.7997861983680071
2873212765,7555.774193548387,5.101612860156644,1097.1935483870968,1916.967741935484,0.4545409000709896
3372868164,6861.65,4.707000041007996,1077.55,1933.1,0.8017798528331639
3977333714,10984.566666666668,7.5169999440511095,707.5333333333333,1513.6666666666667,0.8340312986576223
4020332650,2267.2258064516127,1.6261290389323428,1237.258064516129,2385.8064516129034,0.8973731312138007
4057192912,3838,2.86250001192093,1217.25,1973.75,0.6064094584028247
4319703577,7268.8387096774195,4.892258047036105,735.8064516129032,2037.6774193548388,0.8622396464778037
4388161847,10813.935483870968,8.393225892897574,836.6774193548387,3093.8709677419356,0.8800903539244864
4445114986,4796.548387096775,3.2458064402303384,829.9032258064516,2186.1935483870966,0.8571323633978651
4558609924,7685.129032258064,5.080645176672166,1093.6129032258063,2033.258064516129,0.6872795852161753
4702921684,8572.064516129032,6.9551612830931155,766.4193548387096,2965.548387096774,0.8929446651289484
5553957443,8612.58064516129,5.6396774495801605,668.3548387096774,1875.6774193548388,0.8785276864859902
5577150313,8304.433333333332,6.213333304723104,754.4333333333333,3359.633333333333,0.9162756875231074
6117666160,7046.714285714285,5.342142914022717,796.2857142857143,2261.1428571428573,0.9166512531728952
6290855005,5649.551724137931,4.27241380461331,1193.0344827586207,2599.6206896551726,0.698364112982361
6775888955,2519.6923076923076,1.8134615161241252,1299.423076923077,2131.769230769231,0.8591146142552852
6962181067,9794.806451612903,6.585806477454402,662.3225806451613,1982.032258064516,0.8884803970532621
7007744171,11323.423076923076,8.015384591542757,1055.3461538461538,2544,0.8875945808287485
7086361926,9371.774193548386,6.388064507815628,850.4516129032259,2566.3548387096776,0.8836171971411348
8053475328,14763.290322580646,11.475161198646788,1148,2945.8064516129034,0.9640244390296226
8253242879,6482.1578947368425,4.667368468485381,1287.3684210526317,1788,0.7654301616068181
8378563200,8717.709677419354,6.913548461852531,716.1290322580645,3436.5806451612902,0.823798054786772
8583815059,7198.5161290322585,5.615483822361117,1267.225806451613,2732.032258064516,0.7637703244498355
8792009665,1853.7241379310344,1.1865517168209476,1060.4827586206898,1962.3103448275863,0.8267536387503699
8877689391,16040.032258064517,13.212903138129944,1112.8709677419354,3420.2580645161293,0.7981111859858426
